81.4723686393,90.5791937076,12.6986816294,91.3375856139,63.2359246225,9.7540404999,27.8498218867
77.4251262242,96.7567555921,22.0510336390,86.5188069328,70.3440347962,20.9263391502,24.5847600370
79.3088422433,86.9262720484,20.8585165957,97.1713552162,74.7083063380,32.4540254576,25.0313637039
66.4402711026,91.2033521808,31.0196505845,100.0000000000,78.9941781644,39.1629884226,20.1703981096
66.5674807620,82.1865883717,37.0987217661,92.6968245366,73.8637833692,32.1465838442,9.6725361690
69.4825294175,83.4217237280,34.6828817863,100.0000000000,63.8433442978,32.5308004559,4.6422682076
70.8856627030,86.2919792504,30.0468739002,100.0000000000,62.0898788950,37.1281468446,5.7958223245
72.1279384961,78.6046156016,35.4973347795,100.0000000000,54.7451477713,31.3226994382,2.5552381753
77.2915812861,72.3149587827,38.7688247710,95.9064695699,59.2178875931,27.8548325275,0.0000000000
77.1042986042,77.0714650719,49.1427183800,97.9665281083,51.6861383789,21.9564605778,0.0000000000
